
============================================================
[detached] 시작 2026-08-31 16:10:35
[detached] /home/j-j15a302/llm/sangyong_llm/.venv/bin/python -u /home/j-j15a302/llm/sangyong_llm/train/train.py --model 282m --batch-size 2 --grad-accum 128
============================================================
============================================================
장치        : cuda
어휘        : 16,384
모델        : 282m (d_model 1024, 24층, context 2048)
파라미터    : 282,641,408
학습 토큰   : 6,879,527,547 / 검증 13,756,746
정밀도      : fp16 (Tesla V100S-PCIE-32GB sm_70 — bf16 텐서코어 없음(Ampere 미만). bf16 에뮬레이션은 fp32보다도 느려서 fp16을 쓴다)
유효 배치   : 524,288 토큰/스텝
스텝        : 13,121 (총 6.88B 토큰)
============================================================
iter      0 | loss 9.9055 | lr 1.20e-06 | gnorm 11.30 | 6,518 tok/s | vram 21.85GB
iter     10 | loss 8.5201 | lr 1.32e-05 | gnorm 3.76 | 6,509 tok/s | vram 23.96GB
iter     20 | loss 8.0216 | lr 2.52e-05 | gnorm 13.55 | 6,511 tok/s | vram 23.96GB
iter     30 | loss 7.4558 | lr 3.72e-05 | gnorm 3.25 | 6,505 tok/s | vram 23.96GB
iter     40 | loss 6.9317 | lr 4.92e-05 | gnorm 3.00 | 6,507 tok/s | vram 23.96GB
iter     50 | loss 6.5310 | lr 6.12e-05 | gnorm 2.65 | 6,509 tok/s | vram 23.96GB
iter     60 | loss 6.2094 | lr 7.32e-05 | gnorm 2.19 | 6,510 tok/s | vram 23.96GB
iter     70 | loss 5.9390 | lr 8.52e-05 | gnorm 1.92 | 6,509 tok/s | vram 23.96GB
iter     80 | loss 5.7318 | lr 9.72e-05 | gnorm 2.44 | 6,507 tok/s | vram 23.96GB
iter     90 | loss 5.4694 | lr 1.09e-04 | gnorm 1.69 | 6,506 tok/s | vram 23.96GB
iter    100 | loss 5.2286 | lr 1.21e-04 | gnorm 2.13 | 6,506 tok/s | vram 23.96GB
iter    110 | loss 5.0943 | lr 1.33e-04 | gnorm 1.97 | 6,506 tok/s | vram 23.96GB
iter    120 | loss 4.9007 | lr 1.45e-04 | gnorm 1.37 | 6,504 tok/s | vram 23.96GB
iter    130 | loss 4.7795 | lr 1.57e-04 | gnorm 1.48 | 6,504 tok/s | vram 23.96GB
iter    140 | loss 4.6256 | lr 1.69e-04 | gnorm 1.90 | 6,505 tok/s | vram 23.96GB
iter    150 | loss 4.4602 | lr 1.81e-04 | gnorm 1.70 | 6,505 tok/s | vram 23.96GB
iter    160 | loss 4.3189 | lr 1.93e-04 | gnorm 1.75 | 6,504 tok/s | vram 23.96GB
iter    170 | loss 4.1989 | lr 2.05e-04 | gnorm 1.52 | 6,504 tok/s | vram 23.96GB
iter    180 | loss 4.1120 | lr 2.17e-04 | gnorm 1.39 | 6,503 tok/s | vram 23.96GB
iter    190 | loss 4.0089 | lr 2.29e-04 | gnorm 1.04 | 6,504 tok/s | vram 23.96GB
iter    200 | loss 4.0011 | lr 2.41e-04 | gnorm 1.28 | 6,504 tok/s | vram 23.96GB
iter    210 | loss 3.8512 | lr 2.53e-04 | gnorm 1.43 | 6,504 tok/s | vram 23.96GB
iter    220 | loss 3.6995 | lr 2.65e-04 | gnorm 0.87 | 6,504 tok/s | vram 23.96GB
iter    230 | loss 3.6746 | lr 2.77e-04 | gnorm 1.15 | 6,504 tok/s | vram 23.96GB
iter    240 | loss 3.5924 | lr 2.89e-04 | gnorm 1.13 | 6,505 tok/s | vram 23.96GB
iter    250 | loss 3.5049 | lr 3.01e-04 | gnorm 1.12 | 6,504 tok/s | vram 23.96GB
iter    260 | loss 3.3518 | lr 3.13e-04 | gnorm 1.03 | 6,475 tok/s | vram 23.96GB
iter    270 | loss 3.3132 | lr 3.25e-04 | gnorm 1.36 | 6,508 tok/s | vram 23.96GB
iter    280 | loss 3.2888 | lr 3.37e-04 | gnorm 3.05 | 6,513 tok/s | vram 23.96GB
iter    290 | loss 3.1149 | lr 3.49e-04 | gnorm 1.17 | 6,515 tok/s | vram 23.96GB
iter    300 | loss 3.0341 | lr 3.61e-04 | gnorm 1.55 | 6,511 tok/s | vram 23.96GB
iter    310 | loss 2.8513 | lr 3.73e-04 | gnorm 0.89 | 6,510 tok/s | vram 23.96GB
iter    320 | loss 2.6668 | lr 3.85e-04 | gnorm 0.92 | 6,509 tok/s | vram 23.96GB
iter    330 | loss 2.6521 | lr 3.97e-04 | gnorm 0.64 | 6,508 tok/s | vram 23.96GB
iter    340 | loss 2.5925 | lr 4.09e-04 | gnorm 0.69 | 6,508 tok/s | vram 23.96GB
iter    350 | loss 2.4239 | lr 4.21e-04 | gnorm 0.61 | 6,507 tok/s | vram 23.96GB
iter    360 | loss 2.3726 | lr 4.33e-04 | gnorm 0.82 | 6,515 tok/s | vram 23.96GB
iter    370 | loss 2.2086 | lr 4.45e-04 | gnorm 0.69 | 6,512 tok/s | vram 23.96GB
iter    380 | loss 2.2528 | lr 4.57e-04 | gnorm 0.63 | 6,510 tok/s | vram 23.96GB
iter    390 | loss 2.1600 | lr 4.69e-04 | gnorm 0.53 | 6,509 tok/s | vram 23.96GB
iter    400 | loss 2.1527 | lr 4.81e-04 | gnorm 0.52 | 6,508 tok/s | vram 23.96GB
iter    410 | loss 2.0512 | lr 4.93e-04 | gnorm 0.42 | 6,508 tok/s | vram 23.96GB
iter    420 | loss 1.9810 | lr 5.05e-04 | gnorm 0.81 | 6,508 tok/s | vram 23.96GB
iter    430 | loss 2.0319 | lr 5.17e-04 | gnorm 0.44 | 6,518 tok/s | vram 23.96GB
iter    440 | loss 1.9903 | lr 5.29e-04 | gnorm 0.49 | 6,513 tok/s | vram 23.96GB
iter    450 | loss 1.9856 | lr 5.41e-04 | gnorm 0.36 | 6,511 tok/s | vram 23.96GB
iter    460 | loss 1.9043 | lr 5.53e-04 | gnorm 0.40 | 6,510 tok/s | vram 23.96GB
iter    470 | loss 1.9385 | lr 5.65e-04 | gnorm 1.13 | 6,509 tok/s | vram 23.96GB
iter    480 | loss 5.7383 | lr 5.77e-04 | gnorm 292.59 | 6,508 tok/s | vram 23.96GB
iter    490 | loss 2.1554 | lr 5.89e-04 | gnorm 2.05 | 6,508 tok/s | vram 23.96GB
